,Mainline,Fork,Pr nr,Filename,Operation,File classification,Interesting
0,apache/kafka,linkedin/kafka,17996,generator/src/main/java/org/apache/kafka/message/checker/CheckerUtils.java,None,NOT EXISTING,0
1,apache/kafka,linkedin/kafka,17996,generator/src/main/java/org/apache/kafka/message/checker/MetadataSchemaCheckerTool.java,None,NOT EXISTING,0
2,apache/kafka,linkedin/kafka,17996,generator/src/test/java/org/apache/kafka/message/checker/MetadataSchemaCheckerToolTest.java,None,NOT EXISTING,0
3,apache/kafka,linkedin/kafka,17986,core/src/test/scala/integration/kafka/server/DynamicBrokerReconfigurationTest.scala,None,NA,0
4,apache/kafka,linkedin/kafka,17971,tools/src/test/java/org/apache/kafka/tools/consumer/group/SaslClientsWithInvalidCredentialsTest.java,None,NOT EXISTING,0
7,apache/kafka,linkedin/kafka,17970,core/src/test/scala/integration/kafka/api/SaslSetup.scala,MODIFIED,MO,1
9,apache/kafka,linkedin/kafka,17970,core/src/test/scala/kafka/raft/KafkaMetadataLogTest.scala,MODIFIED,MO,1
5,apache/kafka,linkedin/kafka,17970,core/src/test/scala/integration/kafka/api/DelegationTokenEndToEndAuthorizationWithOwnerTest.scala,None,NOT EXISTING,0
6,apache/kafka,linkedin/kafka,17970,core/src/test/scala/integration/kafka/api/PlaintextAdminIntegrationTest.scala,None,NA,0
8,apache/kafka,linkedin/kafka,17970,core/src/test/scala/integration/kafka/server/RaftClusterSnapshotTest.scala,None,NA,0
10,apache/kafka,linkedin/kafka,17970,core/src/test/scala/unit/kafka/coordinator/group/CoordinatorLoaderImplTest.scala,None,NOT EXISTING,0
11,apache/kafka,linkedin/kafka,17970,core/src/test/scala/unit/kafka/integration/KafkaServerTestHarness.scala,None,NA,0
12,apache/kafka,linkedin/kafka,17970,core/src/test/scala/unit/kafka/server/ReplicationQuotasTest.scala,None,NA,0
13,apache/kafka,linkedin/kafka,17970,core/src/test/scala/unit/kafka/server/epoch/LeaderEpochIntegrationTest.scala,None,NA,0
14,apache/kafka,linkedin/kafka,17970,core/src/test/scala/unit/kafka/tools/DumpLogSegmentsTest.scala,None,NA,0
15,apache/kafka,linkedin/kafka,17963,streams/integration-tests/src/test/java/org/apache/kafka/streams/integration/KStreamRepartitionIntegrationTest.java,None,NOT EXISTING,0
16,apache/kafka,linkedin/kafka,17959,storage/src/test/java/org/apache/kafka/tiered/storage/integration/OffloadAndTxnConsumeFromLeaderTest.java,None,NOT EXISTING,0
19,apache/kafka,linkedin/kafka,17954,core/src/test/scala/integration/kafka/api/SaslSetup.scala,MODIFIED,MO,1
26,apache/kafka,linkedin/kafka,17954,core/src/test/scala/kafka/raft/KafkaMetadataLogTest.scala,MODIFIED,MO,1
17,apache/kafka,linkedin/kafka,17954,core/src/test/scala/integration/kafka/api/DelegationTokenEndToEndAuthorizationWithOwnerTest.scala,None,NOT EXISTING,0
18,apache/kafka,linkedin/kafka,17954,core/src/test/scala/integration/kafka/api/SaslClientsWithInvalidCredentialsTest.scala,None,NA,0
20,apache/kafka,linkedin/kafka,17954,core/src/test/scala/integration/kafka/server/RaftClusterSnapshotTest.scala,None,NA,0
21,apache/kafka,linkedin/kafka,17954,core/src/test/scala/unit/kafka/coordinator/group/CoordinatorLoaderImplTest.scala,None,NOT EXISTING,0
22,apache/kafka,linkedin/kafka,17954,core/src/test/scala/unit/kafka/integration/KafkaServerTestHarness.scala,None,NA,0
23,apache/kafka,linkedin/kafka,17954,core/src/test/scala/unit/kafka/server/ReplicationQuotasTest.scala,None,NA,0
24,apache/kafka,linkedin/kafka,17954,core/src/test/scala/unit/kafka/server/epoch/LeaderEpochIntegrationTest.scala,None,NA,0
25,apache/kafka,linkedin/kafka,17954,core/src/test/scala/unit/kafka/tools/DumpLogSegmentsTest.scala,None,NA,0
27,apache/kafka,linkedin/kafka,17954,core/src/test/scala/integration/kafka/api/PlaintextAdminIntegrationTest.scala,None,NA,0
28,apache/kafka,linkedin/kafka,17933,streams/integration-tests/src/test/java/org/apache/kafka/streams/integration/RangeQueryIntegrationTest.java,None,NOT EXISTING,0
29,apache/kafka,linkedin/kafka,17924,core/src/main/scala/kafka/server/KafkaRaftServer.scala,None,NA,0
30,apache/kafka,linkedin/kafka,17924,core/src/main/scala/kafka/server/SharedServer.scala,None,NOT EXISTING,0
32,apache/kafka,linkedin/kafka,17919,streams/src/test/java/org/apache/kafka/streams/processor/internals/PartitionGroupTest.java,MODIFIED,ED,1
31,apache/kafka,linkedin/kafka,17919,streams/src/main/java/org/apache/kafka/streams/processor/internals/PartitionGroup.java,None,NA,0
33,apache/kafka,linkedin/kafka,17919,streams/src/test/java/org/apache/kafka/streams/processor/internals/StreamTaskTest.java,None,NA,0
44,apache/kafka,linkedin/kafka,17917,core/src/test/scala/integration/kafka/api/SaslPlainPlaintextConsumerTest.scala,MODIFIED,MO,1
46,apache/kafka,linkedin/kafka,17917,clients/src/main/java/org/apache/kafka/clients/Metadata.java,MODIFIED,MO,1
48,apache/kafka,linkedin/kafka,17917,clients/src/main/java/org/apache/kafka/clients/admin/ConsumerGroupDescription.java,MODIFIED,MO,1
49,apache/kafka,linkedin/kafka,17917,clients/src/main/java/org/apache/kafka/clients/admin/DeleteConsumerGroupsResult.java,MODIFIED,MO,1
