,Mainline,Fork,Pr nr,Patch classification,Interesting
0,apache/kafka,linkedin/kafka,16170,MO,1
13,apache/kafka,linkedin/kafka,16062,SP,1
15,apache/kafka,linkedin/kafka,16020,ED,1
19,apache/kafka,linkedin/kafka,15984,MO,1
9,apache/kafka,linkedin/kafka,16092,MO,1
17,apache/kafka,linkedin/kafka,15991,MO,1
50,apache/kafka,linkedin/kafka,15777,ED,1
44,apache/kafka,linkedin/kafka,15793,MO,1
51,apache/kafka,linkedin/kafka,15773,MO,1
49,apache/kafka,linkedin/kafka,15778,MO,1
46,apache/kafka,linkedin/kafka,15787,MO,1
47,apache/kafka,linkedin/kafka,15784,MO,1
34,apache/kafka,linkedin/kafka,15900,MO,1
29,apache/kafka,linkedin/kafka,15922,ED,1
30,apache/kafka,linkedin/kafka,15919,MO,1
31,apache/kafka,linkedin/kafka,15910,ED,1
33,apache/kafka,linkedin/kafka,15904,MO,1
35,apache/kafka,linkedin/kafka,15889,MO,1
27,apache/kafka,linkedin/kafka,15942,MO,1
23,apache/kafka,linkedin/kafka,15962,MO,1
22,apache/kafka,linkedin/kafka,15971,MO,1
85,apache/kafka,linkedin/kafka,15601,MO,1
69,apache/kafka,linkedin/kafka,15698,MO,1
96,apache/kafka,linkedin/kafka,15558,MO,1
92,apache/kafka,linkedin/kafka,15573,MO,1
97,apache/kafka,linkedin/kafka,15557,MO,1
98,apache/kafka,linkedin/kafka,15549,MO,1
93,apache/kafka,linkedin/kafka,15570,MO,1
99,apache/kafka,linkedin/kafka,15542,MO,1
116,apache/kafka,linkedin/kafka,15484,MO,1
115,apache/kafka,linkedin/kafka,15485,MO,1
114,apache/kafka,linkedin/kafka,15486,MO,1
113,apache/kafka,linkedin/kafka,15490,MO,1
107,apache/kafka,linkedin/kafka,15510,MO,1
104,apache/kafka,linkedin/kafka,15523,ED,1
102,apache/kafka,linkedin/kafka,15529,MO,1
101,apache/kafka,linkedin/kafka,15530,MO,1
64,apache/kafka,linkedin/kafka,15723,MO,1
67,apache/kafka,linkedin/kafka,15707,MO,1
71,apache/kafka,linkedin/kafka,15691,MO,1
70,apache/kafka,linkedin/kafka,15697,MO,1
82,apache/kafka,linkedin/kafka,15609,MO,1
84,apache/kafka,linkedin/kafka,15605,MO,1
78,apache/kafka,linkedin/kafka,15636,MO,1
76,apache/kafka,linkedin/kafka,15661,SP,1
57,apache/kafka,linkedin/kafka,15744,MO,1
58,apache/kafka,linkedin/kafka,15742,MO,1
66,apache/kafka,linkedin/kafka,15713,MO,1
65,apache/kafka,linkedin/kafka,15722,MO,1
59,apache/kafka,linkedin/kafka,15738,MO,1
60,apache/kafka,linkedin/kafka,15737,MO,1
118,apache/kafka,linkedin/kafka,15474,MO,1
117,apache/kafka,linkedin/kafka,15476,MO,1
184,apache/kafka,linkedin/kafka,15176,MO,1
192,apache/kafka,linkedin/kafka,15136,MO,1
191,apache/kafka,linkedin/kafka,15149,SP,1
190,apache/kafka,linkedin/kafka,15154,MO,1
