,Mainline,Fork,Pr nr,Filename,Operation,File classification,Interesting
0,apache/kafka,linkedin/kafka,14890,core/src/test/scala/unit/kafka/server/DescribeClusterRequestTest.scala,MODIFIED,ED,1
1,apache/kafka,linkedin/kafka,14875,metadata/src/test/java/org/apache/kafka/image/loader/MetadataLoaderTest.java,None,NOT EXISTING,0
2,apache/kafka,linkedin/kafka,14869,streams/src/main/java/org/apache/kafka/streams/processor/internals/PendingUpdateAction.java,None,NOT EXISTING,0
3,apache/kafka,linkedin/kafka,14869,streams/src/main/java/org/apache/kafka/streams/processor/internals/TaskManager.java,None,NA,0
4,apache/kafka,linkedin/kafka,14869,streams/src/main/java/org/apache/kafka/streams/processor/internals/Tasks.java,None,NA,0
5,apache/kafka,linkedin/kafka,14869,streams/src/main/java/org/apache/kafka/streams/processor/internals/TasksRegistry.java,None,NOT EXISTING,0
6,apache/kafka,linkedin/kafka,14869,streams/src/test/java/org/apache/kafka/streams/processor/internals/TaskManagerTest.java,None,NA,0
7,apache/kafka,linkedin/kafka,14869,streams/src/test/java/org/apache/kafka/streams/processor/internals/TasksTest.java,None,NOT EXISTING,0
8,apache/kafka,linkedin/kafka,14855,core/src/test/scala/unit/kafka/zookeeper/ZooKeeperClientTest.scala,MODIFIED,MO,1
10,apache/kafka,linkedin/kafka,14854,core/src/test/scala/unit/kafka/server/ServerStartupTest.scala,MODIFIED,ED,1
9,apache/kafka,linkedin/kafka,14854,core/src/main/scala/kafka/server/KafkaServer.scala,None,NA,0
11,apache/kafka,linkedin/kafka,14851,docs/upgrade.html,None,NA,0
12,apache/kafka,linkedin/kafka,14840,storage/src/test/java/org/apache/kafka/server/log/remote/metadata/storage/TopicBasedRemoteLogMetadataManagerTest.java,None,NA,0
13,apache/kafka,linkedin/kafka,14836,core/src/test/scala/unit/kafka/server/BrokerLifecycleManagerTest.scala,None,NA,0
14,apache/kafka,linkedin/kafka,14836,core/src/test/scala/unit/kafka/server/MockNodeToControllerChannelManager.scala,None,NOT EXISTING,0
15,apache/kafka,linkedin/kafka,14827,connect/runtime/src/test/java/org/apache/kafka/connect/util/clusters/ConnectAssertions.java,None,NOT EXISTING,0
16,apache/kafka,linkedin/kafka,14824,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/DistributedHerder.java,None,NA,0
17,apache/kafka,linkedin/kafka,14823,core/src/test/scala/unit/kafka/server/ReplicaManagerTest.scala,None,NA,0
18,apache/kafka,linkedin/kafka,14813,clients/src/main/java/org/apache/kafka/clients/ClusterConnectionStates.java,MODIFIED,MO,1
19,apache/kafka,linkedin/kafka,14813,clients/src/test/java/org/apache/kafka/clients/ClusterConnectionStatesTest.java,MODIFIED,ED,1
23,apache/kafka,linkedin/kafka,14810,README.md,MODIFIED,SP,1
27,apache/kafka,linkedin/kafka,14810,bin/kafka-run-class.sh,MODIFIED,MO,1
36,apache/kafka,linkedin/kafka,14810,checkstyle/checkstyle.xml,MODIFIED,MO,1
37,apache/kafka,linkedin/kafka,14810,checkstyle/import-control-core.xml,MODIFIED,MO,1
41,apache/kafka,linkedin/kafka,14810,checkstyle/import-control.xml,MODIFIED,ED,1
44,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/Metadata.java,MODIFIED,ED,1
45,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/MetadataCache.java,MODIFIED,MO,1
47,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/NetworkClientUtils.java,MODIFIED,ED,1
48,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/NodeApiVersions.java,MODIFIED,MO,1
50,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/admin/AdminClientConfig.java,MODIFIED,MO,1
56,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/admin/TransactionState.java,MODIFIED,MO,1
58,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminMetadataManager.java,MODIFIED,MO,1
63,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/consumer/Consumer.java,MODIFIED,ED,1
68,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/consumer/MockConsumer.java,MODIFIED,MO,1
77,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/consumer/internals/ConsumerNetworkClient.java,MODIFIED,MO,1
99,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/consumer/internals/OffsetsForLeaderEpochClient.java,MODIFIED,MO,1
132,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/producer/MockProducer.java,MODIFIED,MO,1
133,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/producer/Producer.java,MODIFIED,ED,1
135,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/producer/RoundRobinPartitioner.java,MODIFIED,MO,1
136,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/producer/internals/ProducerBatch.java,MODIFIED,MO,1
137,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/producer/internals/RecordAccumulator.java,MODIFIED,MO,1
139,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/clients/producer/internals/SenderMetricsRegistry.java,MODIFIED,MO,1
144,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/config/AbstractConfig.java,MODIFIED,MO,1
146,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/config/ConfigResource.java,MODIFIED,MO,1
147,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/config/SslConfigs.java,MODIFIED,MO,1
148,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/config/TopicConfig.java,MODIFIED,MO,1
149,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/config/provider/FileConfigProvider.java,MODIFIED,MO,1
150,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/errors/InvalidMetadataException.java,MODIFIED,MO,1
158,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/protocol/Errors.java,MODIFIED,ED,1
159,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/protocol/types/Schema.java,MODIFIED,ED,1
174,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/DeleteGroupsRequest.java,MODIFIED,MO,1
175,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/DescribeAclsResponse.java,MODIFIED,MO,1
176,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/DescribeConfigsResponse.java,MODIFIED,MO,1
177,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/DescribeGroupsRequest.java,MODIFIED,ED,1
178,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/FetchResponse.java,MODIFIED,MO,1
181,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/LeaderAndIsrRequest.java,MODIFIED,MO,1
182,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/OffsetCommitRequest.java,MODIFIED,MO,1
185,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/OffsetFetchRequest.java,MODIFIED,MO,1
187,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/ProduceRequest.java,MODIFIED,MO,1
188,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/ProduceResponse.java,MODIFIED,MO,1
191,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/requests/TxnOffsetCommitRequest.java,MODIFIED,ED,1
193,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/security/kerberos/KerberosError.java,MODIFIED,MO,1
196,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/security/oauthbearer/internals/unsecured/OAuthBearerUnsecuredJws.java,MODIFIED,MO,1
197,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/security/plain/internals/PlainSaslServerProvider.java,MODIFIED,MO,1
198,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/security/scram/internals/ScramSaslClientProvider.java,MODIFIED,MO,1
199,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/security/scram/internals/ScramSaslServerProvider.java,MODIFIED,MO,1
202,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/security/ssl/DefaultSslEngineFactory.java,MODIFIED,MO,1
203,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/security/ssl/SslFactory.java,MODIFIED,MO,1
204,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/security/ssl/SslPrincipalMapper.java,MODIFIED,MO,1
205,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/serialization/ByteBufferSerializer.java,MODIFIED,ED,1
215,apache/kafka,linkedin/kafka,14810,clients/src/main/java/org/apache/kafka/common/utils/AppInfoParser.java,MODIFIED,MO,1
228,apache/kafka,linkedin/kafka,14810,clients/src/main/resources/common/message/BrokerHeartbeatRequest.json,MODIFIED,MO,1
229,apache/kafka,linkedin/kafka,14810,clients/src/main/resources/common/message/BrokerHeartbeatResponse.json,MODIFIED,MO,1
238,apache/kafka,linkedin/kafka,14810,clients/src/main/resources/common/message/DescribeClusterRequest.json,MODIFIED,MO,1
239,apache/kafka,linkedin/kafka,14810,clients/src/main/resources/common/message/DescribeClusterResponse.json,MODIFIED,MO,1
240,apache/kafka,linkedin/kafka,14810,clients/src/main/resources/common/message/DescribeConfigsRequest.json,MODIFIED,MO,1
