,Mainline,Fork,Pr nr,Filename,Operation,File classification,Interesting
12,apache/kafka,linkedin/kafka,13767,core/src/test/scala/unit/kafka/zk/migration/ZkConfigMigrationClientTest.scala,None,OTHER EXT,0
13,apache/kafka,linkedin/kafka,13767,core/src/test/scala/unit/kafka/zk/migration/ZkMigrationClientTest.scala,None,OTHER EXT,0
14,apache/kafka,linkedin/kafka,13767,core/src/test/scala/unit/kafka/zk/migration/ZkMigrationTestHarness.scala,None,OTHER EXT,0
15,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/metadata/migration/ConfigMigrationClient.java,None,NOT EXISTING,0
16,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/metadata/migration/KRaftMigrationZkWriter.java,None,NOT EXISTING,0
17,apache/kafka,linkedin/kafka,13767,metadata/src/test/java/org/apache/kafka/metadata/migration/CapturingConfigMigrationClient.java,None,NOT EXISTING,0
18,apache/kafka,linkedin/kafka,13767,LICENSE-binary,None,OTHER EXT,0
19,apache/kafka,linkedin/kafka,13767,build.gradle,None,OTHER EXT,0
20,apache/kafka,linkedin/kafka,13767,checkstyle/import-control.xml,None,OTHER EXT,0
21,apache/kafka,linkedin/kafka,13767,checkstyle/suppressions.xml,None,OTHER EXT,0
24,apache/kafka,linkedin/kafka,13767,clients/src/test/java/org/apache/kafka/clients/consumer/internals/DefaultBackgroundThreadTest.java,None,NOT EXISTING,0
30,apache/kafka,linkedin/kafka,13767,connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaTopicBasedBackingStore.java,None,NOT EXISTING,0
34,apache/kafka,linkedin/kafka,13767,connect/runtime/src/test/java/org/apache/kafka/connect/runtime/isolation/TestPlugins.java,None,NA,0
35,apache/kafka,linkedin/kafka,13767,connect/runtime/src/test/java/org/apache/kafka/connect/storage/KafkaConfigBackingStoreTest.java,None,NA,0
36,apache/kafka,linkedin/kafka,13767,connect/runtime/src/test/java/org/apache/kafka/connect/storage/KafkaOffsetBackingStoreTest.java,None,NA,0
39,apache/kafka,linkedin/kafka,13767,connect/runtime/src/test/resources/test-plugins/aliased-static-field/test/plugins/AliasedStaticField.java,None,NA,0
41,apache/kafka,linkedin/kafka,13767,connect/runtime/src/test/resources/test-plugins/multiple-plugins-in-jar/test/plugins/ThingOne.java,None,NOT EXISTING,0
42,apache/kafka,linkedin/kafka,13767,connect/runtime/src/test/resources/test-plugins/multiple-plugins-in-jar/test/plugins/ThingTwo.java,None,NOT EXISTING,0
45,apache/kafka,linkedin/kafka,13767,connect/runtime/src/test/resources/test-plugins/sampling-connector/test/plugins/SamplingConnector.java,None,NOT EXISTING,0
48,apache/kafka,linkedin/kafka,13767,connect/runtime/src/test/resources/test-plugins/service-loader/test/plugins/ServiceLoadedClass.java,None,NA,0
49,apache/kafka,linkedin/kafka,13767,connect/runtime/src/test/resources/test-plugins/service-loader/test/plugins/ServiceLoaderPlugin.java,None,NA,0
50,apache/kafka,linkedin/kafka,13767,core/src/main/scala/kafka/cluster/Partition.scala,None,OTHER EXT,0
51,apache/kafka,linkedin/kafka,13767,core/src/main/scala/kafka/migration/MigrationPropagator.scala,None,OTHER EXT,0
52,apache/kafka,linkedin/kafka,13767,core/src/test/scala/integration/kafka/zk/ZkMigrationIntegrationTest.scala,None,OTHER EXT,0
53,apache/kafka,linkedin/kafka,13767,core/src/test/scala/unit/kafka/server/ListOffsetsRequestTest.scala,None,OTHER EXT,0
54,apache/kafka,linkedin/kafka,13767,core/src/test/scala/unit/kafka/zk/migration/ZkAclMigrationClientTest.scala,None,OTHER EXT,0
55,apache/kafka,linkedin/kafka,13767,docs/configuration.html,None,OTHER EXT,0
56,apache/kafka,linkedin/kafka,13767,docs/streams/developer-guide/manage-topics.html,None,OTHER EXT,0
57,apache/kafka,linkedin/kafka,13767,docs/toc.html,None,OTHER EXT,0
58,apache/kafka,linkedin/kafka,13767,group-coordinator/src/main/java/org/apache/kafka/coordinator/group/RecordHelpers.java,None,NOT EXISTING,0
59,apache/kafka,linkedin/kafka,13767,group-coordinator/src/main/java/org/apache/kafka/coordinator/group/runtime/Timer.java,None,NOT EXISTING,0
60,apache/kafka,linkedin/kafka,13767,group-coordinator/src/test/java/org/apache/kafka/coordinator/group/RecordHelpersTest.java,None,NOT EXISTING,0
61,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/AclsImage.java,None,NOT EXISTING,0
65,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/ConfigurationDelta.java,None,NA,0
69,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/FeaturesImage.java,None,NA,0
70,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/MetadataImage.java,None,NA,0
71,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/ProducerIdsDelta.java,None,NOT EXISTING,0
72,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/ProducerIdsImage.java,None,NOT EXISTING,0
73,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/ScramImage.java,None,NOT EXISTING,0
76,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/AclsImageByIdNode.java,None,NOT EXISTING,0
77,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/AclsImageNode.java,None,NOT EXISTING,0
78,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ClientQuotaImageNode.java,None,NOT EXISTING,0
