,Mainline,Fork,Pr nr,Patch classification,Interesting
74,apache/kafka,linkedin/kafka,18888,NA,0
41,apache/kafka,linkedin/kafka,19102,NA,0
59,apache/kafka,linkedin/kafka,19005,NE,0
56,apache/kafka,linkedin/kafka,19023,NE,0
58,apache/kafka,linkedin/kafka,19017,NE,0
57,apache/kafka,linkedin/kafka,19020,NE,0
62,apache/kafka,linkedin/kafka,19002,NE,0
61,apache/kafka,linkedin/kafka,19003,NA,0
60,apache/kafka,linkedin/kafka,19004,NE,0
65,apache/kafka,linkedin/kafka,18986,NE,0
67,apache/kafka,linkedin/kafka,18950,CC,0
66,apache/kafka,linkedin/kafka,18958,NA,0
69,apache/kafka,linkedin/kafka,18942,NA,0
70,apache/kafka,linkedin/kafka,18934,NE,0
43,apache/kafka,linkedin/kafka,19096,NE,0
47,apache/kafka,linkedin/kafka,19078,NA,0
46,apache/kafka,linkedin/kafka,19086,NA,0
55,apache/kafka,linkedin/kafka,19024,NE,0
44,apache/kafka,linkedin/kafka,19091,NE,0
42,apache/kafka,linkedin/kafka,19099,NA,0
26,apache/kafka,linkedin/kafka,19171,NA,0
25,apache/kafka,linkedin/kafka,19179,CC,0
7,apache/kafka,linkedin/kafka,19351,NE,0
5,apache/kafka,linkedin/kafka,19358,NE,0
4,apache/kafka,linkedin/kafka,19370,NE,0
2,apache/kafka,linkedin/kafka,19392,NE,0
1,apache/kafka,linkedin/kafka,19415,CC,0
15,apache/kafka,linkedin/kafka,19308,NE,0
13,apache/kafka,linkedin/kafka,19310,CC,0
14,apache/kafka,linkedin/kafka,19309,NA,0
21,apache/kafka,linkedin/kafka,19210,NE,0
16,apache/kafka,linkedin/kafka,19303,NE,0
17,apache/kafka,linkedin/kafka,19247,NE,0
9,apache/kafka,linkedin/kafka,19337,NE,0
8,apache/kafka,linkedin/kafka,19345,NA,0
24,apache/kafka,linkedin/kafka,19185,NA,0
131,apache/kafka,linkedin/kafka,18604,NE,0
132,apache/kafka,linkedin/kafka,18599,CC,0
135,apache/kafka,linkedin/kafka,18563,NA,0
134,apache/kafka,linkedin/kafka,18569,NE,0
133,apache/kafka,linkedin/kafka,18587,NA,0
109,apache/kafka,linkedin/kafka,18725,NE,0
119,apache/kafka,linkedin/kafka,18674,NE,0
118,apache/kafka,linkedin/kafka,18678,NA,0
114,apache/kafka,linkedin/kafka,18690,NA,0
104,apache/kafka,linkedin/kafka,18754,NE,0
164,apache/kafka,linkedin/kafka,18386,NA,0
161,apache/kafka,linkedin/kafka,18416,NE,0
162,apache/kafka,linkedin/kafka,18407,NE,0
163,apache/kafka,linkedin/kafka,18388,NE,0
160,apache/kafka,linkedin/kafka,18417,NA,0
153,apache/kafka,linkedin/kafka,18469,NA,0
156,apache/kafka,linkedin/kafka,18446,NE,0
159,apache/kafka,linkedin/kafka,18418,NA,0
152,apache/kafka,linkedin/kafka,18474,NE,0
142,apache/kafka,linkedin/kafka,18517,NE,0
141,apache/kafka,linkedin/kafka,18534,NA,0
144,apache/kafka,linkedin/kafka,18511,CC,0
147,apache/kafka,linkedin/kafka,18495,NA,0
146,apache/kafka,linkedin/kafka,18505,NA,0
150,apache/kafka,linkedin/kafka,18486,NA,0
151,apache/kafka,linkedin/kafka,18475,NE,0
139,apache/kafka,linkedin/kafka,18544,NE,0
138,apache/kafka,linkedin/kafka,18545,NA,0
140,apache/kafka,linkedin/kafka,18541,NE,0
143,apache/kafka,linkedin/kafka,18513,NA,0
107,apache/kafka,linkedin/kafka,18730,NA,0
105,apache/kafka,linkedin/kafka,18742,NA,0
122,apache/kafka,linkedin/kafka,18661,NE,0
121,apache/kafka,linkedin/kafka,18664,NA,0
125,apache/kafka,linkedin/kafka,18642,NE,0
120,apache/kafka,linkedin/kafka,18667,NE,0
130,apache/kafka,linkedin/kafka,18611,NA,0
180,apache/kafka,linkedin/kafka,18308,NA,0
172,apache/kafka,linkedin/kafka,18337,NE,0
181,apache/kafka,linkedin/kafka,18303,CC,0
177,apache/kafka,linkedin/kafka,18311,NE,0
179,apache/kafka,linkedin/kafka,18309,NA,0
199,apache/kafka,linkedin/kafka,18192,NE,0
197,apache/kafka,linkedin/kafka,18203,NA,0
194,apache/kafka,linkedin/kafka,18221,NA,0
195,apache/kafka,linkedin/kafka,18217,NE,0
193,apache/kafka,linkedin/kafka,18234,NA,0
192,apache/kafka,linkedin/kafka,18253,NE,0
189,apache/kafka,linkedin/kafka,18266,NE,0
190,apache/kafka,linkedin/kafka,18262,NA,0
185,apache/kafka,linkedin/kafka,18284,NE,0
