,Mainline,Fork,Pr nr,Patch classification,Interesting
299,apache/kafka,linkedin/kafka,16249,ED,1
297,apache/kafka,linkedin/kafka,16272,MO,1
10,apache/kafka,linkedin/kafka,17917,MO,1
313,apache/kafka,linkedin/kafka,16171,ED,1
300,apache/kafka,linkedin/kafka,16245,ED,1
302,apache/kafka,linkedin/kafka,16222,MO,1
286,apache/kafka,linkedin/kafka,16344,ED,1
291,apache/kafka,linkedin/kafka,16303,MO,1
295,apache/kafka,linkedin/kafka,16282,MO,1
267,apache/kafka,linkedin/kafka,16451,ED,1
268,apache/kafka,linkedin/kafka,16450,ED,1
269,apache/kafka,linkedin/kafka,16433,ED,1
30,apache/kafka,linkedin/kafka,17788,MO,1
31,apache/kafka,linkedin/kafka,17785,MO,1
32,apache/kafka,linkedin/kafka,17782,MO,1
35,apache/kafka,linkedin/kafka,17755,MO,1
36,apache/kafka,linkedin/kafka,17749,MO,1
37,apache/kafka,linkedin/kafka,17739,MO,1
270,apache/kafka,linkedin/kafka,16432,ED,1
271,apache/kafka,linkedin/kafka,16421,MO,1
275,apache/kafka,linkedin/kafka,16384,MO,1
278,apache/kafka,linkedin/kafka,16372,MO,1
281,apache/kafka,linkedin/kafka,16359,MO,1
250,apache/kafka,linkedin/kafka,16576,SP,1
253,apache/kafka,linkedin/kafka,16559,MO,1
47,apache/kafka,linkedin/kafka,17702,MO,1
48,apache/kafka,linkedin/kafka,17701,MO,1
26,apache/kafka,linkedin/kafka,17822,MO,1
27,apache/kafka,linkedin/kafka,17819,MO,1
29,apache/kafka,linkedin/kafka,17805,MO,1
254,apache/kafka,linkedin/kafka,16558,MO,1
259,apache/kafka,linkedin/kafka,16508,MO,1
260,apache/kafka,linkedin/kafka,16490,ED,1
263,apache/kafka,linkedin/kafka,16466,MO,1
264,apache/kafka,linkedin/kafka,16464,SP,1
238,apache/kafka,linkedin/kafka,16646,MO,1
243,apache/kafka,linkedin/kafka,16623,MO,1
249,apache/kafka,linkedin/kafka,16580,MO,1
220,apache/kafka,linkedin/kafka,16724,SP,1
62,apache/kafka,linkedin/kafka,17625,MO,1
64,apache/kafka,linkedin/kafka,17620,ED,1
65,apache/kafka,linkedin/kafka,17612,MO,1
70,apache/kafka,linkedin/kafka,17583,MO,1
42,apache/kafka,linkedin/kafka,17720,ED,1
44,apache/kafka,linkedin/kafka,17711,MO,1
45,apache/kafka,linkedin/kafka,17709,MO,1
222,apache/kafka,linkedin/kafka,16722,MO,1
