,Mainline,Fork,Pr nr,Filename,Operation,File classification,Interesting
2,apache/kafka,linkedin/kafka,19448,core/src/test/scala/integration/kafka/server/KRaftClusterTest.scala,MODIFIED,MO,1
0,apache/kafka,linkedin/kafka,19448,core/src/main/scala/kafka/server/metadata/KRaftMetadataCache.scala,None,NA,0
1,apache/kafka,linkedin/kafka,19448,core/src/test/java/kafka/testkit/TestKitNodes.java,None,NA,0
3,apache/kafka,linkedin/kafka,19448,metadata/src/main/java/org/apache/kafka/metadata/bootstrap/BootstrapMetadata.java,None,NOT EXISTING,0
4,apache/kafka,linkedin/kafka,19415,.github/scripts/pr-format.py,None,OTHER EXT,0
5,apache/kafka,linkedin/kafka,19392,storage/src/main/java/org/apache/kafka/storage/internals/log/UnifiedLog.java,None,NOT EXISTING,0
38,apache/kafka,linkedin/kafka,19374,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/WorkerCoordinator.java,MODIFIED,ED,1
46,apache/kafka,linkedin/kafka,19374,core/src/test/scala/integration/kafka/api/TransactionsExpirationTest.scala,REMOVED,MO,1
56,apache/kafka,linkedin/kafka,19374,raft/src/main/java/org/apache/kafka/raft/LogFetchInfo.java,MODIFIED,ED,1
61,apache/kafka,linkedin/kafka,19374,raft/src/test/java/org/apache/kafka/raft/MockLogTest.java,MODIFIED,ED,1
76,apache/kafka,linkedin/kafka,19374,streams/src/test/java/org/apache/kafka/streams/kstream/internals/KTableKTableLeftJoinTest.java,MODIFIED,MO,1
83,apache/kafka,linkedin/kafka,19374,clients/src/main/java/org/apache/kafka/common/record/RecordVersion.java,MODIFIED,MO,1
86,apache/kafka,linkedin/kafka,19374,core/src/main/scala/kafka/coordinator/transaction/TransactionCoordinator.scala,MODIFIED,MO,1
92,apache/kafka,linkedin/kafka,19374,core/src/test/scala/unit/kafka/server/CreateTopicsRequestTest.scala,MODIFIED,MO,1
100,apache/kafka,linkedin/kafka,19374,core/src/main/scala/kafka/server/KafkaRequestHandler.scala,MODIFIED,MO,1
117,apache/kafka,linkedin/kafka,19374,clients/src/main/java/org/apache/kafka/common/requests/AbstractResponse.java,MODIFIED,MO,1
118,apache/kafka,linkedin/kafka,19374,clients/src/main/java/org/apache/kafka/common/requests/AlterClientQuotasResponse.java,MODIFIED,MO,1
119,apache/kafka,linkedin/kafka,19374,clients/src/main/java/org/apache/kafka/common/requests/AlterPartitionReassignmentsResponse.java,MODIFIED,MO,1
121,apache/kafka,linkedin/kafka,19374,clients/src/main/java/org/apache/kafka/common/requests/AlterReplicaLogDirsResponse.java,MODIFIED,MO,1
123,apache/kafka,linkedin/kafka,19374,clients/src/main/java/org/apache/kafka/common/requests/BeginQuorumEpochResponse.java,MODIFIED,MO,1
124,apache/kafka,linkedin/kafka,19374,clients/src/main/java/org/apache/kafka/common/requests/BrokerHeartbeatResponse.java,MODIFIED,MO,1
125,apache/kafka,linkedin/kafka,19374,clients/src/main/java/org/apache/kafka/common/requests/BrokerRegistrationResponse.java,MODIFIED,MO,1
