,Mainline,Fork,Pr nr,Patch classification,Interesting
117,apache/kafka,linkedin/kafka,12398,ERROR,0
118,apache/kafka,linkedin/kafka,12376,CC,0
119,apache/kafka,linkedin/kafka,12374,ERROR,0
120,apache/kafka,linkedin/kafka,12373,ERROR,0
121,apache/kafka,linkedin/kafka,12371,ERROR,0
122,apache/kafka,linkedin/kafka,12365,ERROR,0
123,apache/kafka,linkedin/kafka,12363,ERROR,0
124,apache/kafka,linkedin/kafka,12362,CC,0
125,apache/kafka,linkedin/kafka,12359,ERROR,0
126,apache/kafka,linkedin/kafka,12341,ERROR,0
127,apache/kafka,linkedin/kafka,12335,ERROR,0
128,apache/kafka,linkedin/kafka,12329,ERROR,0
129,apache/kafka,linkedin/kafka,12325,ERROR,0
130,apache/kafka,linkedin/kafka,12323,ERROR,0
131,apache/kafka,linkedin/kafka,12322,ERROR,0
132,apache/kafka,linkedin/kafka,12320,NE,0
133,apache/kafka,linkedin/kafka,12317,CC,0
134,apache/kafka,linkedin/kafka,12295,ERROR,0
135,apache/kafka,linkedin/kafka,12289,ERROR,0
136,apache/kafka,linkedin/kafka,12288,ERROR,0
137,apache/kafka,linkedin/kafka,12280,CC,0
138,apache/kafka,linkedin/kafka,12268,CC,0
139,apache/kafka,linkedin/kafka,12265,CC,0
140,apache/kafka,linkedin/kafka,12262,CC,0
141,apache/kafka,linkedin/kafka,12259,ERROR,0
142,apache/kafka,linkedin/kafka,12253,ERROR,0
143,apache/kafka,linkedin/kafka,12252,CC,0
144,apache/kafka,linkedin/kafka,12251,CC,0
145,apache/kafka,linkedin/kafka,12250,ERROR,0
146,apache/kafka,linkedin/kafka,12244,CC,0
147,apache/kafka,linkedin/kafka,12243,CC,0
