Pr nr,GACPD,Pareco
18495,,CC
18505,,CC
12957,,CC
12982,,CC
12987,NE,CC
18323,,CC
18386,,MO
18545,,CC
18604,NE,CC
18611,,MO
12851,,CC
12861,,MO
12887,,ED
18418,,MO
12794,,ED
12799,,CC
12802,,SP
18678,,SP
18690,,CC
18534,,CC
18730,,CC
18742,,CC
18780,,SP
12717,,CC
12721,,MO
12731,,CC
12732,,CC
12738,,CC
12751,,MO
18844,NE,CC
18853,,CC
18859,,CC
12645,,CC
12665,,CC
12669,,CC
18888,,CC
18942,,CC
12586,,CC
12592,,MO
12596,,CC
18815,,CC
12452,,CC
12468,,MO
12523,,CC
12526,,CC
12532,,MO
19160,,CC
19179,CC,NE
19185,,MO
19096,NE,CC
12243,,CC
12252,,CC
12259,,SP
12268,,CC
12295,,MO
12317,NE,CC
19345,,MO
19415,CC,NE
