Pr nr,GACPD,Pareco
12359,MO,ED
12362,MO,CC
12371,MO,
12374,MO,ED
19215,MO,CC
12403,MO,CC
12405,SP,CC
12420,MO,
12421,MO,ED
12426,MO,CC
18996,ED,
19047,MO,CC
19070,MO,NE
12432,ED,MO
12434,ED,MO
12447,SP,MO
12455,MO,CC
12486,ED,MO
18889,MO,CC
18906,MO,CC
18994,MO,SP
12538,MO,CC
12578,ED,MO
12613,MO,CC
12623,MO,CC
18830,ED,
18833,MO,CC
12634,ED,CC
12648,MO,
12683,SP,MO
12690,MO,CC
12704,MO,SP
18714,SP,ED
18758,MO,CC
18796,MO,
12713,MO,CC
12743,MO,NE
12745,MO,ED
12749,ED,MO
12768,MO,CC
12771,ED,MO
12774,ED,MO
12813,SP,MO
12822,SP,MO
18635,MO,CC
18657,MO,CC
18710,MO,NE
18549,SP,
18616,MO,CC
18627,MO,CC
12857,MO,CC
12859,MO,
12882,SP,CC
18435,ED,
18436,MO,CC
18467,SP,CC
18487,ED,
12910,SP,CC
12912,MO,CC
12959,ED,MO
12968,SP,CC
18324,ED,CC
18327,ED,MO
18348,MO,
18369,MO,CC
13008,SP,CC
13039,MO,CC
13055,MO,
18287,SP,MO
18310,ED,CC
13108,MO,NE
13118,MO,CC
13130,MO,CC
13132,ED,MO
13140,MO,CC
13151,MO,CC
13164,SP,CC
18191,ED,
13168,ED,MO
13182,MO,SP
13183,MO,SP
13194,MO,
18098,MO,
18108,ED,CC
18123,ED,MO
13295,ED,CC
13336,MO,
13348,SP,MO
13358,MO,CC
13360,MO,CC
17970,MO,CC
18011,MO,CC
13401,SP,ED
13403,MO,CC
13441,MO,
13462,SP,CC
13512,SP,MO
13523,SP,ED
17919,ED,MO
17954,MO,CC
13612,MO,
13634,MO,
13649,MO,CC
13654,ED,
13657,MO,CC
13684,MO,CC
13734,ED,
13747,MO,CC
13752,MO,
17785,MO,CC
13804,MO,
17701,MO,CC
17711,MO,ED
17720,ED,MO
17749,MO,ED
17755,MO,NE
13877,MO,CC
13882,MO,CC
13886,MO,NE
13956,SP,CC
13958,MO,CC
14011,ED,MO
17516,ED,NE
17566,MO,ED
17567,SP,CC
14053,MO,CC
14070,MO,CC
14078,ED,MO
14085,ED,CC
14092,MO,ED
14103,ED,SP
14269,ED,MO
14277,MO,SP
17492,ED,
14302,ED,SP
14313,SP,MO
14320,ED,SP
14336,ED,CC
14395,MO,CC
14453,MO,CC
17400,ED,CC
14496,MO,
14497,MO,
17221,ED,NE
17258,MO,CC
17278,MO,CC
17305,MO,CC
17312,SP,MO
14498,MO,
14541,MO,CC
14573,MO,CC
17163,MO,ED
17169,ED,
17187,ED,
17196,ED,
17200,MO,CC
17205,MO,
14587,SP,
17095,MO,SP
17146,ED,MO
14660,MO,CC
14680,MO,SP
17049,ED,MO
14813,SP,MO
14854,ED,CC
14855,MO,CC
14890,ED,CC
14914,MO,CC
14960,MO,CC
16873,SP,CC
16876,SP,CC
16892,MO,ED
16933,ED,MO
14965,SP,MO
14975,MO,CC
14977,MO,CC
14980,SP,MO
16789,MO,CC
16790,MO,ED
16820,MO,ED
16858,MO,CC
15073,ED,NE
15084,MO,CC
15093,MO,CC
15122,MO,CC
15136,MO,CC
15176,MO,CC
16724,SP,ED
16769,MO,
16771,MO,ED
16787,MO,ED
15233,MO,ED
15263,MO,CC
15285,MO,CC
16675,MO,ED
15473,SP,ED
16576,SP,
16580,MO,CC
15490,MO,CC
15523,ED,CC
16450,ED,SP
16464,SP,CC
16466,MO,CC
16490,ED,
15530,MO,CC
15557,MO,CC
16344,ED,SP
15605,MO,CC
15609,MO,CC
15661,SP,MO
15697,MO,CC
15738,MO,
16222,MO,ED
16245,ED,MO
16249,ED,
16282,MO,
15773,MO,CC
15777,ED,CC
15787,MO,CC
15793,MO,CC
16171,ED,
16181,MO,
16186,ED,CC
15900,MO,
15910,ED,MO
15919,MO,SP
16062,SP,MO
15922,ED,MO
15984,MO,
15991,MO,CC
12251,MO,CC
12253,MO,
12262,MO,CC
12265,MO,CC
12280,ED,CC
12288,ED,MO
19333,MO,NE
19448,MO,CC
19099,,CC
19102,,NE
12408,,MO
12412,,MO
12415,,MO
16099,,CC
15945,,CC
16015,,MO
16194,,MO
15828,NE,CC
16072,,CC
16342,NE,CC
15755,,CC
15757,,CC
15783,,MO
15792,,MO
16141,,MO
16188,,ED
15725,,CC
15733,,CC
16251,,CC
16300,,ED
16407,,CC
16416,,MO
15608,NE,CC
15630,,CC
15674,NE,MO
16509,,MO
15541,,MO
15559,,CC
15579,NE,MO
16353,,MO
16625,,ED
16635,,CC
15491,,SP
15494,,MO
15505,NE,MO
15508,,MO
15517,,MO
16455,,CC
15410,,CC
15449,,MO
15463,,CC
16570,,MO
16591,,MO
15343,NE,CC
15353,NE,CC
15262,,CC
15287,,CC
15290,,CC
15315,,ED
15317,,CC
15335,,CC
16654,,CC
16736,,MO
16753,,MO
16777,,CC
15193,,CC
15222,,CC
15102,,ED
15104,,CC
15120,NE,CC
15162,,CC
15169,,CC
16730,,MO
16829,NE,CC
16854,,ED
16861,,CC
15068,,CC
15069,,CC
15076,,CC
15079,,CC
15088,,ED
16955,,CC
14989,NE,CC
15006,,CC
15037,,CC
16818,,CC
16826,,ED
14902,,ED
14918,NE,CC
14939,NE,CC
14959,NE,CC
16918,,ED
14823,,CC
14836,,CC
14851,,CC
14732,,CC
14751,,CC
14769,,SP
14770,,CC
14786,NE,CC
16988,NE,MO
17005,,ED
17115,,ED
17118,,MO
14667,,CC
14682,,CC
14688,,CC
17203,,MO
17207,,MO
14616,NE,CC
14622,,CC
17071,CC,NE
17078,,MO
17232,,CC
14506,NE,CC
14563,,CC
17171,,ED
14457,,CC
14459,,CC
14490,,MO
17210,,CC
14366,,CC
14378,,CC
14447,NE,CC
17342,NE,ED
17358,,CC
17361,,CC
17447,,CC
17455,,CC
17475,,ED
17490,NE,CC
14292,,CC
14300,,MO
14314,,SP
14160,,CC
14188,,CC
14216,,MO
14228,,CC
14273,,CC
14281,NE,MO
17445,,CC
17541,,MO
17572,,CC
17585,,CC
17599,,CC
14065,,CC
14088,,MO
14126,NE,CC
14138,,CC
14149,,MO
13968,NE,CC
13976,,CC
14023,,CC
14051,,CC
17635,NE,CC
17655,NE,CC
17657,,CC
17658,,CC
17674,,CC
17688,,CC
17693,,CC
13917,,MO
17704,,CC
17723,,CC
17738,,CC
13810,,MO
13811,,MO
13832,,CC
13858,,CC
17631,NE,CC
17837,NE,CC
13754,NE,CC
13757,NE,CC
13806,,MO
13809,NE,CC
17696,,CC
13672,,CC
13693,NE,CC
13741,NE,CC
17915,,MO
17924,,CC
13469,NE,CC
13480,,CC
13486,,CC
13548,,MO
17866,CC,NE
17887,,CC
17889,,MO
18005,,CC
18021,NE,CC
18023,,CC
18030,,CC
18032,,CC
13381,,CC
13386,,MO
13413,,CC
13450,,CC
18067,,CC
18127,NE,
13325,,MO
13331,,CC
17986,,CC
18203,,CC
18221,,CC
18234,,CC
13175,,MO
13221,,CC
13222,,CC
13235,,CC
18309,,CC
13086,,CC
18186,,CC
18192,NE,CC
18417,,CC
13019,,CC
13023,,MO
13044,,MO
13050,,MO
18262,,CC
18469,,CC
18486,,MO
