,Mainline,Fork,Pr nr,Patch classification,Interesting
1013,apache/kafka,linkedin/kafka,13884,MO,1
1012,apache/kafka,linkedin/kafka,13885,MO,1
1011,apache/kafka,linkedin/kafka,13886,MO,1
1010,apache/kafka,linkedin/kafka,13887,MO,1
1009,apache/kafka,linkedin/kafka,13888,MO,1
303,apache/kafka,linkedin/kafka,17612,MO,1
302,apache/kafka,linkedin/kafka,17620,ED,1
300,apache/kafka,linkedin/kafka,17625,MO,1
296,apache/kafka,linkedin/kafka,17645,MO,1
1006,apache/kafka,linkedin/kafka,13902,MO,1
1004,apache/kafka,linkedin/kafka,13912,MO,1
1001,apache/kafka,linkedin/kafka,13920,MO,1
997,apache/kafka,linkedin/kafka,13938,MO,1
993,apache/kafka,linkedin/kafka,13956,SP,1
992,apache/kafka,linkedin/kafka,13957,MO,1
991,apache/kafka,linkedin/kafka,13958,MO,1
990,apache/kafka,linkedin/kafka,13965,MO,1
985,apache/kafka,linkedin/kafka,13992,MO,1
983,apache/kafka,linkedin/kafka,14011,ED,1
980,apache/kafka,linkedin/kafka,14026,MO,1
978,apache/kafka,linkedin/kafka,14039,MO,1
977,apache/kafka,linkedin/kafka,14046,MO,1
319,apache/kafka,linkedin/kafka,17516,ED,1
317,apache/kafka,linkedin/kafka,17527,MO,1
313,apache/kafka,linkedin/kafka,17566,MO,1
312,apache/kafka,linkedin/kafka,17567,SP,1
308,apache/kafka,linkedin/kafka,17583,MO,1
975,apache/kafka,linkedin/kafka,14053,MO,1
973,apache/kafka,linkedin/kafka,14070,MO,1
972,apache/kafka,linkedin/kafka,14078,ED,1
971,apache/kafka,linkedin/kafka,14085,ED,1
969,apache/kafka,linkedin/kafka,14092,MO,1
967,apache/kafka,linkedin/kafka,14103,ED,1
966,apache/kafka,linkedin/kafka,14123,MO,1
960,apache/kafka,linkedin/kafka,14151,MO,1
957,apache/kafka,linkedin/kafka,14177,MO,1
952,apache/kafka,linkedin/kafka,14206,MO,1
948,apache/kafka,linkedin/kafka,14269,ED,1
945,apache/kafka,linkedin/kafka,14277,MO,1
332,apache/kafka,linkedin/kafka,17440,MO,1
322,apache/kafka,linkedin/kafka,17492,ED,1
942,apache/kafka,linkedin/kafka,14297,MO,1
940,apache/kafka,linkedin/kafka,14302,ED,1
939,apache/kafka,linkedin/kafka,14303,MO,1
938,apache/kafka,linkedin/kafka,14313,SP,1
936,apache/kafka,linkedin/kafka,14317,MO,1
934,apache/kafka,linkedin/kafka,14320,ED,1
932,apache/kafka,linkedin/kafka,14336,ED,1
930,apache/kafka,linkedin/kafka,14343,MO,1
928,apache/kafka,linkedin/kafka,14372,ED,1
926,apache/kafka,linkedin/kafka,14379,MO,1
924,apache/kafka,linkedin/kafka,14395,MO,1
923,apache/kafka,linkedin/kafka,14400,MO,1
917,apache/kafka,linkedin/kafka,14427,MO,1
915,apache/kafka,linkedin/kafka,14437,MO,1
914,apache/kafka,linkedin/kafka,14439,MO,1
912,apache/kafka,linkedin/kafka,14453,MO,1
351,apache/kafka,linkedin/kafka,17319,MO,1
348,apache/kafka,linkedin/kafka,17353,MO,1
345,apache/kafka,linkedin/kafka,17374,MO,1
344,apache/kafka,linkedin/kafka,17379,MO,1
343,apache/kafka,linkedin/kafka,17382,MO,1
342,apache/kafka,linkedin/kafka,17384,MO,1
340,apache/kafka,linkedin/kafka,17400,ED,1
338,apache/kafka,linkedin/kafka,17411,MO,1
904,apache/kafka,linkedin/kafka,14483,MO,1
899,apache/kafka,linkedin/kafka,14493,MO,1
898,apache/kafka,linkedin/kafka,14495,MO,1
897,apache/kafka,linkedin/kafka,14496,MO,1
896,apache/kafka,linkedin/kafka,14497,MO,1
365,apache/kafka,linkedin/kafka,17221,ED,1
361,apache/kafka,linkedin/kafka,17258,MO,1
360,apache/kafka,linkedin/kafka,17269,MO,1
359,apache/kafka,linkedin/kafka,17278,MO,1
355,apache/kafka,linkedin/kafka,17305,MO,1
352,apache/kafka,linkedin/kafka,17312,SP,1
895,apache/kafka,linkedin/kafka,14498,MO,1
894,apache/kafka,linkedin/kafka,14500,MO,1
890,apache/kafka,linkedin/kafka,14533,MO,1
889,apache/kafka,linkedin/kafka,14539,MO,1
888,apache/kafka,linkedin/kafka,14541,MO,1
886,apache/kafka,linkedin/kafka,14545,MO,1
885,apache/kafka,linkedin/kafka,14550,MO,1
884,apache/kafka,linkedin/kafka,14557,MO,1
883,apache/kafka,linkedin/kafka,14562,MO,1
881,apache/kafka,linkedin/kafka,14573,MO,1
880,apache/kafka,linkedin/kafka,14574,MO,1
383,apache/kafka,linkedin/kafka,17163,MO,1
381,apache/kafka,linkedin/kafka,17168,MO,1
380,apache/kafka,linkedin/kafka,17169,ED,1
375,apache/kafka,linkedin/kafka,17187,ED,1
374,apache/kafka,linkedin/kafka,17191,MO,1
373,apache/kafka,linkedin/kafka,17196,ED,1
372,apache/kafka,linkedin/kafka,17200,MO,1
370,apache/kafka,linkedin/kafka,17205,MO,1
878,apache/kafka,linkedin/kafka,14587,SP,1
877,apache/kafka,linkedin/kafka,14589,MO,1
870,apache/kafka,linkedin/kafka,14628,MO,1
869,apache/kafka,linkedin/kafka,14635,MO,1
868,apache/kafka,linkedin/kafka,14637,MO,1
865,apache/kafka,linkedin/kafka,14645,MO,1
398,apache/kafka,linkedin/kafka,17072,MO,1
394,apache/kafka,linkedin/kafka,17092,MO,1
393,apache/kafka,linkedin/kafka,17095,MO,1
387,apache/kafka,linkedin/kafka,17146,ED,1
862,apache/kafka,linkedin/kafka,14660,MO,1
861,apache/kafka,linkedin/kafka,14662,MO,1
858,apache/kafka,linkedin/kafka,14674,MO,1
857,apache/kafka,linkedin/kafka,14680,MO,1
855,apache/kafka,linkedin/kafka,14683,MO,1
853,apache/kafka,linkedin/kafka,14704,MO,1
852,apache/kafka,linkedin/kafka,14707,MO,1
846,apache/kafka,linkedin/kafka,14741,SP,1
845,apache/kafka,linkedin/kafka,14744,MO,1
844,apache/kafka,linkedin/kafka,14750,MO,1
842,apache/kafka,linkedin/kafka,14754,ED,1
840,apache/kafka,linkedin/kafka,14761,MO,1
838,apache/kafka,linkedin/kafka,14764,MO,1
834,apache/kafka,linkedin/kafka,14782,MO,1
413,apache/kafka,linkedin/kafka,16994,MO,1
412,apache/kafka,linkedin/kafka,17004,MO,1
409,apache/kafka,linkedin/kafka,17025,MO,1
408,apache/kafka,linkedin/kafka,17026,MO,1
406,apache/kafka,linkedin/kafka,17049,ED,1
405,apache/kafka,linkedin/kafka,17050,MO,1
404,apache/kafka,linkedin/kafka,17053,MO,1
831,apache/kafka,linkedin/kafka,14790,SP,1
828,apache/kafka,linkedin/kafka,14810,MO,1
827,apache/kafka,linkedin/kafka,14813,SP,1
820,apache/kafka,linkedin/kafka,14854,ED,1
819,apache/kafka,linkedin/kafka,14855,MO,1
814,apache/kafka,linkedin/kafka,14890,ED,1
811,apache/kafka,linkedin/kafka,14910,MO,1
809,apache/kafka,linkedin/kafka,14914,MO,1
804,apache/kafka,linkedin/kafka,14953,MO,1
800,apache/kafka,linkedin/kafka,14960,MO,1
431,apache/kafka,linkedin/kafka,16873,SP,1
430,apache/kafka,linkedin/kafka,16876,SP,1
428,apache/kafka,linkedin/kafka,16892,MO,1
425,apache/kafka,linkedin/kafka,16933,ED,1
421,apache/kafka,linkedin/kafka,16954,MO,1
419,apache/kafka,linkedin/kafka,16956,MO,1
417,apache/kafka,linkedin/kafka,16975,MO,1
798,apache/kafka,linkedin/kafka,14965,SP,1
797,apache/kafka,linkedin/kafka,14975,MO,1
796,apache/kafka,linkedin/kafka,14977,MO,1
795,apache/kafka,linkedin/kafka,14980,SP,1
793,apache/kafka,linkedin/kafka,14996,MO,1
788,apache/kafka,linkedin/kafka,15015,MO,1
785,apache/kafka,linkedin/kafka,15033,MO,1
447,apache/kafka,linkedin/kafka,16789,MO,1
446,apache/kafka,linkedin/kafka,16790,MO,1
445,apache/kafka,linkedin/kafka,16807,MO,1
442,apache/kafka,linkedin/kafka,16820,MO,1
434,apache/kafka,linkedin/kafka,16858,MO,1
780,apache/kafka,linkedin/kafka,15073,ED,1
778,apache/kafka,linkedin/kafka,15077,MO,1
776,apache/kafka,linkedin/kafka,15080,ED,1
775,apache/kafka,linkedin/kafka,15084,MO,1
773,apache/kafka,linkedin/kafka,15093,MO,1
771,apache/kafka,linkedin/kafka,15098,MO,1
765,apache/kafka,linkedin/kafka,15122,MO,1
761,apache/kafka,linkedin/kafka,15136,MO,1
760,apache/kafka,linkedin/kafka,15149,SP,1
759,apache/kafka,linkedin/kafka,15154,MO,1
753,apache/kafka,linkedin/kafka,15176,MO,1
462,apache/kafka,linkedin/kafka,16722,MO,1
460,apache/kafka,linkedin/kafka,16724,SP,1
457,apache/kafka,linkedin/kafka,16738,SP,1
456,apache/kafka,linkedin/kafka,16745,MO,1
453,apache/kafka,linkedin/kafka,16769,MO,1
452,apache/kafka,linkedin/kafka,16771,MO,1
448,apache/kafka,linkedin/kafka,16787,MO,1
745,apache/kafka,linkedin/kafka,15202,MO,1
743,apache/kafka,linkedin/kafka,15215,MO,1
742,apache/kafka,linkedin/kafka,15217,ED,1
739,apache/kafka,linkedin/kafka,15233,MO,1
735,apache/kafka,linkedin/kafka,15263,MO,1
733,apache/kafka,linkedin/kafka,15282,MO,1
732,apache/kafka,linkedin/kafka,15285,MO,1
728,apache/kafka,linkedin/kafka,15293,MO,1
727,apache/kafka,linkedin/kafka,15296,MO,1
726,apache/kafka,linkedin/kafka,15311,MO,1
478,apache/kafka,linkedin/kafka,16646,MO,1
473,apache/kafka,linkedin/kafka,16661,MO,1
471,apache/kafka,linkedin/kafka,16675,MO,1
466,apache/kafka,linkedin/kafka,16709,MO,1
464,apache/kafka,linkedin/kafka,16720,MO,1
718,apache/kafka,linkedin/kafka,15346,MO,1
717,apache/kafka,linkedin/kafka,15347,MO,1
715,apache/kafka,linkedin/kafka,15351,MO,1
713,apache/kafka,linkedin/kafka,15357,MO,1
706,apache/kafka,linkedin/kafka,15392,MO,1
704,apache/kafka,linkedin/kafka,15399,MO,1
702,apache/kafka,linkedin/kafka,15409,MO,1
699,apache/kafka,linkedin/kafka,15419,MO,1
698,apache/kafka,linkedin/kafka,15422,MO,1
695,apache/kafka,linkedin/kafka,15434,MO,1
694,apache/kafka,linkedin/kafka,15437,MO,1
689,apache/kafka,linkedin/kafka,15469,MO,1
688,apache/kafka,linkedin/kafka,15473,SP,1
494,apache/kafka,linkedin/kafka,16558,MO,1
493,apache/kafka,linkedin/kafka,16559,MO,1
490,apache/kafka,linkedin/kafka,16576,SP,1
489,apache/kafka,linkedin/kafka,16580,MO,1
483,apache/kafka,linkedin/kafka,16623,MO,1
687,apache/kafka,linkedin/kafka,15474,MO,1
686,apache/kafka,linkedin/kafka,15476,MO,1
685,apache/kafka,linkedin/kafka,15484,MO,1
684,apache/kafka,linkedin/kafka,15485,MO,1
683,apache/kafka,linkedin/kafka,15486,MO,1
682,apache/kafka,linkedin/kafka,15490,MO,1
678,apache/kafka,linkedin/kafka,15502,MO,1
675,apache/kafka,linkedin/kafka,15510,MO,1
672,apache/kafka,linkedin/kafka,15523,ED,1
511,apache/kafka,linkedin/kafka,16421,MO,1
510,apache/kafka,linkedin/kafka,16432,ED,1
509,apache/kafka,linkedin/kafka,16433,ED,1
508,apache/kafka,linkedin/kafka,16450,ED,1
507,apache/kafka,linkedin/kafka,16451,ED,1
504,apache/kafka,linkedin/kafka,16464,SP,1
503,apache/kafka,linkedin/kafka,16466,MO,1
500,apache/kafka,linkedin/kafka,16490,ED,1
499,apache/kafka,linkedin/kafka,16508,MO,1
670,apache/kafka,linkedin/kafka,15529,MO,1
669,apache/kafka,linkedin/kafka,15530,MO,1
667,apache/kafka,linkedin/kafka,15542,MO,1
666,apache/kafka,linkedin/kafka,15549,MO,1
665,apache/kafka,linkedin/kafka,15557,MO,1
664,apache/kafka,linkedin/kafka,15558,MO,1
661,apache/kafka,linkedin/kafka,15570,MO,1
660,apache/kafka,linkedin/kafka,15573,MO,1
659,apache/kafka,linkedin/kafka,15574,MO,1
526,apache/kafka,linkedin/kafka,16344,ED,1
524,apache/kafka,linkedin/kafka,16346,MO,1
521,apache/kafka,linkedin/kafka,16359,MO,1
518,apache/kafka,linkedin/kafka,16372,MO,1
515,apache/kafka,linkedin/kafka,16384,MO,1
652,apache/kafka,linkedin/kafka,15601,MO,1
651,apache/kafka,linkedin/kafka,15605,MO,1
649,apache/kafka,linkedin/kafka,15609,MO,1
645,apache/kafka,linkedin/kafka,15636,MO,1
643,apache/kafka,linkedin/kafka,15661,SP,1
637,apache/kafka,linkedin/kafka,15691,MO,1
635,apache/kafka,linkedin/kafka,15697,MO,1
634,apache/kafka,linkedin/kafka,15698,MO,1
632,apache/kafka,linkedin/kafka,15707,MO,1
631,apache/kafka,linkedin/kafka,15713,MO,1
630,apache/kafka,linkedin/kafka,15722,MO,1
629,apache/kafka,linkedin/kafka,15723,MO,1
625,apache/kafka,linkedin/kafka,15737,MO,1
624,apache/kafka,linkedin/kafka,15738,MO,1
542,apache/kafka,linkedin/kafka,16222,MO,1
540,apache/kafka,linkedin/kafka,16245,ED,1
539,apache/kafka,linkedin/kafka,16249,ED,1
537,apache/kafka,linkedin/kafka,16272,MO,1
535,apache/kafka,linkedin/kafka,16282,MO,1
531,apache/kafka,linkedin/kafka,16303,MO,1
623,apache/kafka,linkedin/kafka,15742,MO,1
