,Mainline,Fork,Pr nr,Filename,Operation,File classification,Interesting
0,apache/kafka,linkedin/kafka,13008,core/src/main/scala/kafka/log/remote/RemoteIndexCache.scala,None,OTHER EXT,0
1,apache/kafka,linkedin/kafka,13008,core/src/test/scala/unit/kafka/log/remote/RemoteIndexCacheTest.scala,None,OTHER EXT,0
2,apache/kafka,linkedin/kafka,12987,core/src/test/scala/integration/kafka/server/FetchFromFollowerIntegrationTest.scala,None,OTHER EXT,0
3,apache/kafka,linkedin/kafka,12939,Jenkinsfile,None,OTHER EXT,0
4,apache/kafka,linkedin/kafka,12939,README.md,None,OTHER EXT,0
5,apache/kafka,linkedin/kafka,12939,bin/kafka-run-class.sh,None,ERROR,0
6,apache/kafka,linkedin/kafka,12939,build.gradle,None,OTHER EXT,0
7,apache/kafka,linkedin/kafka,12939,checkstyle/import-control.xml,None,OTHER EXT,0
8,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/clients/admin/KafkaAdminClient.java,None,ERROR,0
9,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/clients/consumer/ConsumerPartitionAssignor.java,None,ERROR,0
10,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/clients/consumer/CooperativeStickyAssignor.java,None,ERROR,0
11,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/clients/consumer/StickyAssignor.java,None,ERROR,0
12,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractStickyAssignor.java,None,ERROR,0
13,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/clients/consumer/internals/ConsumerCoordinator.java,None,ERROR,0
14,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/clients/consumer/internals/ConsumerProtocol.java,None,ERROR,0
15,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/common/config/internals/BrokerSecurityConfigs.java,None,ERROR,0
16,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/common/internals/Topic.java,None,ERROR,0
17,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/common/requests/RequestHeader.java,None,ERROR,0
18,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/common/requests/ResponseHeader.java,None,ERROR,0
19,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/common/utils/Java.java,None,ERROR,0
20,apache/kafka,linkedin/kafka,12939,clients/src/main/java/org/apache/kafka/common/utils/Utils.java,None,ERROR,0
21,apache/kafka,linkedin/kafka,12939,clients/src/main/resources/common/message/ConsumerProtocolAssignment.json,None,OTHER EXT,0
22,apache/kafka,linkedin/kafka,12939,clients/src/main/resources/common/message/ConsumerProtocolSubscription.json,None,OTHER EXT,0
23,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/clients/admin/KafkaAdminClientTest.java,None,ERROR,0
24,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/clients/consumer/CooperativeStickyAssignorTest.java,None,ERROR,0
25,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/clients/consumer/StickyAssignorTest.java,None,ERROR,0
26,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/clients/consumer/internals/AbstractStickyAssignorTest.java,None,ERROR,0
27,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/clients/consumer/internals/ConsumerProtocolTest.java,None,ERROR,0
28,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/common/requests/EnvelopeRequestTest.java,None,ERROR,0
29,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/common/requests/EnvelopeResponseTest.java,None,ERROR,0
30,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/common/requests/RequestHeaderTest.java,None,ERROR,0
31,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/common/requests/RequestResponseTest.java,None,ERROR,0
32,apache/kafka,linkedin/kafka,12939,clients/src/test/java/org/apache/kafka/common/utils/JavaTest.java,None,ERROR,0
